Department / Agency / Crown Corporation,Ministère/organisme/société d'État,Program name,Nom de programme,Category,Catégorie,Project name,Nom de projet,Project description,Description du projet,Recipient type,Type de destinataire,Ultimate recipient name,Nom du destinataire final,Program contribution,Estimated total project cost,Contribution du programme,Coût total estimé du projet,Funding date / estimated start date,Funding date / Date de début estimée,Province/Territory,Province/Territoire,Municipality / Community,Municipalité / Communauté,Icon,Latitude,Longitude,Additional information,informations complémentaires,
Standards Council of Canada,Conseil canadien des normes,"Standards Council of Canada's Infrastructure Program: Stream 1 - Standardization Guidance for Weather Data, Climate Information and Climate Change Projections","Programme du Conseil canadien des normes en matière d’infrastructures: Volet 1 – Guide de normalisation pour les données météorologiques, l’information climatique et les prévisions relatives aux changements climatiques",Adaptation - Infrastructure,Adaptation - Immeubles,"Report on ""Standardization of Meteorological Data Networks Across Canada: Early Engagement of Network Owners and Operators""",Rapport Standardization of Meteorological Data Networks Across Canada: Early Engagement of Network Owners and Operators,"This report provides an overview of discussions with weather data owners, operators and users in order to gauge their interest in standardization of meteorological data networks in Canada. It discusses the needs for standardization and the types of standards that are most needed/required regarding weather and hydro-climatic data networks.","Ce rapport résume les discussions avec les propriétaires, les responsables et les utilisateurs de données météorologiques visant à évaluer leur intérêt dans la normalisation des réseaux de données météorologiques au Canada. Il traite des besoins de normalisation et des types de normes prioritaires ou essentielles pour les réseaux de données météorologiques et hydroclimatiques.",Other,Autre,Standards Council of Canada,Conseil canadien des normes,Not available,Not available,Sans objet,Sans objet,Fall/2017,Automne/2017,Multiple,Multiples,Multiple,Multiples,Adaptation,45.422136,-75.695965,"<a target=""_blank"" href=""http://www.scc.ca/en"">Program website</a>","<a target=""_blank"" href=""http://www.scc.ca/fr"">Site web du programme</a>",
Standards Council of Canada,Conseil canadien des normes,"Standards Council of Canada's Infrastructure Program: Stream 1 - Standardization Guidance for Weather Data, Climate Information and Climate Change Projections","Programme du Conseil canadien des normes en matière d’infrastructures: Volet 1 – Guide de normalisation pour les données météorologiques, l’information climatique et les prévisions relatives aux changements climatiques",Adaptation - Infrastructure,Adaptation - Immeubles,"Report outlining the ""Review of the Climate Change Hazards Information Portal (CCHIP)""",Rapport Review of the Climate Change Hazards Information Portal (CCHIP),"This report provides an overview of the review of an online climate data portal as well as recommendations to assist accredited SDOs and their technical committees with the tools needed in the immediate future, to account for the forecasted conditions as a result of climate change.",Ce rapport donne un aperçu de l’examen d’un portail en ligne de données climatiques et fournit des recommandations sur la voie à suivre pour appuyer les OEN accrédités et leurs comités techniques en mettant à leur disposition les outils dont ils auront besoin dans un avenir proche pour prendre en compte les conditions météorologiques que devraient amener les changements climatiques.,Other,Autre,Standards Council of Canada,Conseil canadien des normes,Not available,Not available,Sans objet,Sans objet,Summer/2017,Été/2017,Multiple,Multiples,Multiple,Multiples,Adaptation,45.422136,-75.695965,"<a target=""_blank"" href=""http://www.scc.ca/en"">Program website</a>","<a target=""_blank"" href=""http://www.scc.ca/fr"">Site web du programme</a>",
Standards Council of Canada,Conseil canadien des normes,"Standards Council of Canada's Infrastructure Program: Stream 1 - Standardization Guidance for Weather Data, Climate Information and Climate Change Projections","Programme du Conseil canadien des normes en matière d’infrastructures: Volet 1 – Guide de normalisation pour les données météorologiques, l’information climatique et les prévisions relatives aux changements climatiques",Adaptation - Infrastructure,Adaptation - Immeubles,"Report titled ""Protection from Unacceptable Inflow and Infiltration in Canadian Wastewater Systems: A National Foundational Document""",Rapport intitulé « Se protéger contre des niveaux inacceptables d’infiltration et d’eau de captage dans les réseaux collecteurs d’eaux usées du Canada : un document fondateur national »,"The report will provide a baseline of information and understanding of key inflow and infiltration issues, identify improvements that can be made to design and construction standards and codes, and provide guidance on monitoring and enforcement. ","Le rapport comportera des données de base et permettra de comprendre les principaux problèmes de captage et d’infiltration, définira les améliorations qui pourraient être apportées aux normes et aux codes de conception et de construction, et fera des recommandations en matière de surveillance et de mise en œuvre. ",Other,Autre,Standards Council of Canada,Conseil canadien des normes,Not available,Not available,Sans objet,Sans objet,Fall/2018,Automne/2018,Multiple,Multiples,Multiple,Multiples,Adaptation,45.422136,-75.695965,"<a target=""_blank"" href=""http://www.scc.ca/en"">Program website</a>","<a target=""_blank"" href=""http://www.scc.ca/fr"">Site web du programme</a>",
Standards Council of Canada,Conseil canadien des normes,"Standards Council of Canada's Infrastructure Program: Stream 1 - Standardization Guidance for Weather Data, Climate Information and Climate Change Projections","Programme du Conseil canadien des normes en matière d’infrastructures: Volet 1 – Guide de normalisation pour les données météorologiques, l’information climatique et les prévisions relatives aux changements climatiques",Adaptation - Infrastructure,Adaptation - Immeubles,"Review and update of ""CSA Technical Guide Plus 4013-12: Development, Interpretation and Use of Rainfall Intensity-Duration-Frequency (IDF) Information: Guideline for Canadian Water Resources Practitioners""","Examen et mise à jour du guide technique Plus 4013-12, Élaboration, interprétation et utilisation de l’information intensité-durée-fréquence (IDF) des précipitations: Ligne directrice à l’intention des spécialistes canadiens des ressources en eau","This project will update ""CSA Plus 4013-12: Development, Interpretation, and Use of Rainfall Intensity-Duration-Frequency (IDF) Information: Guideline for Canadian Water Resources Practitioners"" to reflect the latest scientific understanding of the topic, to provide guidance on how to incorporate climate change into the formulation and application of IDF information by updating relevant existing content, and to add additional new content regarding climate.","Ce projet prévoit la mise à jour du guide technique Plus 4013-12 pour intégrer les dernières connaissances scientifiques sur l’élaboration, l’interprétation et l’utilisation des données d’intensité, de durée et de fréquence des précipitations, pour guider l’intégration des changements climatiques dans les formules et l’application des données en mettant à jour le contenu pertinent, et pour ajouter du contenu sur le climat.",Other,Autre,Canadian water resource practitioners,Des spécialistes canadiens en matière de ressources en eau,Not available,Not available,Sans objet,Sans objet,Spring/2018,Printemps/2018,Multiple,Multiples,Multiple,Multiples,Adaptation,45.422136,-75.695965,"<a target=""_blank"" href=""http://www.scc.ca/en"">Program website</a>","<a target=""_blank"" href=""http://www.scc.ca/fr"">Site web du programme</a>",
Standards Council of Canada,Conseil canadien des normes,"Standards Council of Canada's Infrastructure Program: Stream 1 - Standardization Guidance for Weather Data, Climate Information and Climate Change Projections","Programme du Conseil canadien des normes en matière d’infrastructures: Volet 1 – Guide de normalisation pour les données météorologiques, l’information climatique et les prévisions relatives aux changements climatiques",Adaptation - Infrastructure,Adaptation - Immeubles,"State-of-play report on the development of ""Standardization Guidance for Weather Data, Climate Information and Climate Change Projections""","Rapport Guide de normalisation pour les données météorologiques, l’information climatique et les prévisions relatives aux changements climatiques",This report examines the state of climate information in Canada and highlights how it can be integrated into infrastructure design decisions to make us more climate resilient and better able to adapt to a changing climate.,Ce rapport dresse le portrait de la situation actuelle en ce qui concerne l’information climatique disponible au Canada et montre que l’intégration de celle-ci dans la prise de décisions sur la conception des infrastructures peut améliorer notre résilience face au climat et notre capacité de nous adapter aux changements climatiques.,Other,Autre,Standards Council of Canada,Conseil canadien des normes,Not available,Not available,Sans objet,Sans objet,Summer/2017,Été/2017,Multiple,Multiples,Multiple,Multiples,Adaptation,45.422136,-75.695965,"<a target=""_blank"" href=""http://www.scc.ca/en"">Program website</a>","<a target=""_blank"" href=""http://www.scc.ca/fr"">Site web du programme</a>",
Standards Council of Canada,Conseil canadien des normes,Standards Council of Canada's Infrastructure Program: Stream 2 - Updating of Existing Infrastructure Standards,Programme du Conseil canadien des normes en matière d’infrastructures: Volet 2 – Mise à jour des normes relatives aux infrastructures,Adaptation - Infrastructure,Adaptation - Immeubles,Development of a new Canadian Guide for Addressing Climate Change Adaptation in Standards for Canada,Élaboration d’un nouveau guide canadien pour la prise en compte de l’adaptation aux changements climatiques dans les normes destinées à être mises en œuvre au Canada,The report will provide guidance to Canadian standards developers on how to integrate climate change adaptation considerations into standards. ,Le rapport fera des recommandations à l’intention des élaborateurs de normes canadiens pour les aider à intégrer l’adaptation aux changements climatiques dans les normes. ,Other,Autre,Standards Council of Canada,Conseil canadien des normes,Not available,Not available,Sans objet,Sans objet,Fall/2018,Automne/2018,Multiple,Multiples,Multiple,Multiples,Adaptation,45.422136,-75.695965,"<a target=""_blank"" href=""http://www.scc.ca/en"">Program website</a>","<a target=""_blank"" href=""http://www.scc.ca/fr"">Site web du programme</a>",
Standards Council of Canada,Conseil canadien des normes,Standards Council of Canada's Infrastructure Program: Stream 2 - Updating of Existing Infrastructure Standards,Programme du Conseil canadien des normes en matière d’infrastructures: Volet 2 – Mise à jour des normes relatives aux infrastructures,Adaptation - Infrastructure,Adaptation - Immeubles,"Development of a new National Standard of Canada for ""Flood-Resilient Design for New Residential Communities""",Élaboration d’une nouvelle Norme nationale du Canada sur la conception résiliente aux inondations pour les nouvelles communautés résidentielles,"This standard will cover requirements and recommendations for the design of new residential communities to protect against flood hazards.  Flood hazards covered in this standard include: riverine, overland, storm and sanitary sewer surcharge, drainage system failures and groundwater seepage.","Cette norme définira les exigences et les recommandations de protection contre les inondations pour les nouvelles communautés résidentielles, qu’il s’agisse d’inondations riveraines ou de surface, de surcharges des égouts pluviaux et sanitaires, de défaillances du système de drainage ou d’infiltrations d’eau souterraine.",Other,Autre,"Local governments, developers, homebuilders, design professionals and contractors","Administrations locales, promoteurs, constructeurs d’habitation, concepteurs professionnels et entrepreneurs",Not available,Not available,Sans objet,Sans objet,Spring/2018,Printemps/2018,Multiple,Multiples,Multiple,Multiples,Adaptation,45.422136,-75.695965,"<a target=""_blank"" href=""http://www.scc.ca/en"">Program website</a>","<a target=""_blank"" href=""http://www.scc.ca/fr"">Site web du programme</a>",
Standards Council of Canada,Conseil canadien des normes,Standards Council of Canada's Infrastructure Program: Stream 2 - Updating of Existing Infrastructure Standards,Programme du Conseil canadien des normes en matière d’infrastructures: Volet 2 – Mise à jour des normes relatives aux infrastructures,Adaptation - Infrastructure,Adaptation - Immeubles,"Report on ""Developing a Stormwater QMS Management Standard in Light of a Changing Climate""",Rapport Developing a Stormwater QMS Management Standard in Light of a Changing Climate,"This project seeks to understand the role and scope of a risk and quality management standard that could be developed to assist municipalities, engineers and other professional practitioners in designing, operating, maintaining and continuously improving stormwater management systems—both today and in light of a changing climate.","Ce projet vise à définir le rôle et la portée d’une norme de gestion des risques et de la qualité qui pourrait être élaborée pour aider les municipalités, les ingénieurs et les autres professionnels à concevoir, exploiter, maintenir et continuellement améliorer les systèmes de gestion des eaux pluviales, dans la situation actuelle et celle que nous réservent les changements climatiques.",Other,Autre,Standards Council of Canada,Conseil canadien des normes,Not available,Not available,Sans objet,Sans objet,Winter/2017,Hiver/2018,Multiple,Multiples,Multiple,Multiples,Adaptation,45.422136,-75.695965,"<a target=""_blank"" href=""http://www.scc.ca/en"">Program website</a>","<a target=""_blank"" href=""http://www.scc.ca/fr"">Site web du programme</a>",
Standards Council of Canada,Conseil canadien des normes,Standards Council of Canada's Infrastructure Program: Stream 2 - Updating of Existing Infrastructure Standards,Programme du Conseil canadien des normes en matière d’infrastructures: Volet 2 – Mise à jour des normes relatives aux infrastructures,Adaptation - Infrastructure,Adaptation - Immeubles,"Report on ""Weathering the Storm: Developing a Canadian Guideline for Flood-Resilient Existing Communities""",Rapport Weathering the Storm: Developing a Canadian Guideline for Flood-Resilient Existing Communities ,"This report will seek to identify practical and cost-effective means to strengthen existing urban and suburban communities' flood-resiliency (1) under current weather and urban pressures, and (2) in anticipation of more extreme precipitation events, superimposed on growth within multiple cities and towns across Canada.",Ce rapport relèvera des stratégies pratiques et économiques pour améliorer la résilience aux inondations des secteurs urbains et des banlieues 1) en tenant compte des conditions météorologiques et pressions actuelles des secteurs urbains et 2) en prévision de périodes de précipitation extrêmes combinées à la croissance de multiples villes canadiennes.,Other,Autre,Standards Council of Canada,Conseil canadien des normes,Not available,Not available,Sans objet,Sans objet,Winter/2018,Hiver/2018,Multiple,Multiples,Multiple,Multiples,Adaptation,45.422136,-75.695965,"<a target=""_blank"" href=""http://www.scc.ca/en"">Program website</a>","<a target=""_blank"" href=""http://www.scc.ca/fr"">Site web du programme</a>",
Standards Council of Canada,Conseil canadien des normes,Standards Council of Canada's Infrastructure Program: Stream 2 - Updating of Existing Infrastructure Standards,Programme du Conseil canadien des normes en matière d’infrastructures: Volet 2 – Mise à jour des normes relatives aux infrastructures,Adaptation - Infrastructure,Adaptation - Immeubles,"Report on ""Wind Resilience for Non-Engineered Residential Buildings in Canada""",Rapport Wind Resilience for Non-Engineered Residential Buildings in Canada,"This report will outline a set of extreme wind/tornado risk reduction prescriptive measures for National Building Code of Canada (NBCC) Part 9 residential construction that are widely applicable in Canada, including areas not traditionally defined as exposed to high wind pressure in the NBCC.","Ce rapport décrira un ensemble de mesures préventives pour la réduction des risques de vents extrêmes et de tornades à intégrer à la partie 9 du Code national du bâtiment du Canada (CNB) concernant la construction résidentielle. Ces mesures s’appliqueront à une majeure partie du territoire canadien, y compris les zones qui ne sont pas officiellement définies comme étant soumises à des pressions de vent élevées dans le CNB.",Other,Autre,Standards Council of Canada,Conseil canadien des normes,Not available,Not available,Sans objet,Sans objet,Winter/2018,Hiver/2018,Multiple,Multiples,Multiple,Multiples,Adaptation,45.422136,-75.695965,"<a target=""_blank"" href=""http://www.scc.ca/en"">Program website</a>","<a target=""_blank"" href=""http://www.scc.ca/fr"">Site web du programme</a>",
Standards Council of Canada,Conseil canadien des normes,Standards Council of Canada's Infrastructure Program: Stream 2 - Updating of Existing Infrastructure Standards,Programme du Conseil canadien des normes en matière d’infrastructures: Volet 2 – Mise à jour des normes relatives aux infrastructures,Adaptation - Infrastructure,Adaptation - Immeubles,"Report published on ""Preventing Disaster Before it Strikes: Developing a Canadian Standard for New Flood-Resilient Residential Communities - 20 Best Practices""","Rapport publié, intitulé Prévenir les catastrophes avant qu’elles ne surviennent : élaborer des normes canadiennes pour rendre les nouvelles zones résidentielles résilientes face aux inondations – 20 pratiques exemplaires",This report profiles 20 best practices to be incorporated into the design and construction of new flood-resilient residential communities in Canada.,Ce rapport décrit 20 pratiques exemplaires à intégrer à la conception et à la construction des nouvelles zones résidentielles au Canada pour mieux les protéger contre les inondations.,Other,Autre,Standards Council of Canada,Conseil canadien des normes,Not available,Not available,Sans objet,Sans objet,Spring/2017,Printemps/2017,Multiple,Multiples,Multiple,Multiples,Adaptation,45.422136,-75.695965,"<a target=""_blank"" href=""http://www.scc.ca/en"">Program website</a>","<a target=""_blank"" href=""http://www.scc.ca/fr"">Site web du programme</a>",
Standards Council of Canada,Conseil canadien des normes,Standards Council of Canada's Infrastructure Program: Stream 2 - Updating of Existing Infrastructure Standards,Programme du Conseil canadien des normes en matière d’infrastructures: Volet 2 – Mise à jour des normes relatives aux infrastructures,Adaptation - Infrastructure,Adaptation - Immeubles,"Report titled ""Recommendations for a Thermal Comfort Annex to the CSA Group’s Children's Playspaces and Equipment Standard (CSA Z614)""",Rapport intitulé « Recommandations pour l’élaboration d’une annexe sur le confort thermique pour la norme CSA sur les aires et équipements de jeu (CSA Z614) »,"The report will describe best practices for the design of thermally comfortable play spaces, and make recommendations for an information annex to CSA Z614. ","Le rapport décrira les pratiques exemplaires à suivre pour assurer le confort thermique dans les aires de jeu, et fera des recommandations pour l’élaboration d’une annexe informative pour la norme CSA Z614. ",Other,Autre,Standards Council of Canada,Conseil canadien des normes,Not available,Not available,Sans objet,Sans objet,Winter/2019,Hiver/2019,Multiple,Multiples,Multiple,Multiples,Adaptation,45.422136,-75.695965,"<a target=""_blank"" href=""http://www.scc.ca/en"">Program website</a>","<a target=""_blank"" href=""http://www.scc.ca/fr"">Site web du programme</a>",
Standards Council of Canada,Conseil canadien des normes,Standards Council of Canada's Infrastructure Program: Stream 2 - Updating of Existing Infrastructure Standards,Programme du Conseil canadien des normes en matière d’infrastructures: Volet 2 – Mise à jour des normes relatives aux infrastructures,Adaptation - Infrastructure,Adaptation - Immeubles,"Review and Update of ""CSA S37-18 Antennas, Towers, and Antenna-Supporting Structures""","Examen et mise à jour de la norme CSA S37-18 Antennes, tours et structures de support d’antenne","This project will result in the update of ""CSA S37-18 - Antennas, Towers, and Antenna-Supporting Structures"" to reflect climate change adaptation, accounting for heavy rain, flood, wind, snow, ice, increased temperature variations and extreme weather events.","Ce projet prévoit la mise à jour de la norme CSA S37-18 intitulée Antennes, tours et structures de support d’antenne en vue d’y intégrer l’adaptation aux changements climatiques, prenant donc en compte l’augmentation des pluies, des inondations, des vents, des précipitations de neige et de verglas, des variations de température et de la fréquence des événements météorologiques extrêmes.",Other,Autre,"Local governments, engineers, telecommunication industry","Administrations locales, ingénieurs et secteur des télécommunications",Not available,Not available,Sans objet,Sans objet,Spring/2018,Printemps/2018,Multiple,Multiples,Multiple,Multiples,Adaptation,45.422136,-75.695965,"<a target=""_blank"" href=""http://www.scc.ca/en"">Program website</a>","<a target=""_blank"" href=""http://www.scc.ca/fr"">Site web du programme</a>",
Standards Council of Canada,Conseil canadien des normes,Standards Council of Canada's Infrastructure Program: Stream 2 - Updating of Existing Infrastructure Standards,Programme du Conseil canadien des normes en matière d’infrastructures: Volet 2 – Mise à jour des normes relatives aux infrastructures,Adaptation - Infrastructure,Adaptation - Immeubles,"Review and Update of ""CSA Z240.10.1-16 Site Preparation, Foundational, and Installation of Buildings""","Examen et mise à jour de la norme CSA Z240.10.1-16 Aménagement du terrain, construction des fondations et installation de bâtiments","This project will result in the update of ""CSA Z240.10.1-16 - Site Preparation, Foundation, and Installation of Buildings"" to reflect climate change adaptation, accounting for heavy rain, flood, wind, snow, ice, increased temperature variations and extreme weather events.","Ce projet prévoit la mise à jour de la norme CSA Z240.10.1-16 intitulée Aménagement du terrain, construction des fondations et installation de bâtiment en vue d’y intégrer l’adaptation aux changements climatiques, prenant donc en compte l’augmentation des pluies, des inondations, des vents, des précipitations de neige et de verglas, des variations de température et de la fréquence des événements météorologiques extrêmes.",Other,Autre,"Installers, inspectors, and owners of manufactured homes","Installateurs, inspecteurs et propriétaires de maisons préfabriquées",Not available,Not available,Sans objet,Sans objet,Spring/2018,Printemps/2018,Multiple,Multiples,Multiple,Multiples,Adaptation,45.422136,-75.695965,"<a target=""_blank"" href=""http://www.scc.ca/en"">Program website</a>","<a target=""_blank"" href=""http://www.scc.ca/fr"">Site web du programme</a>",
Standards Council of Canada,Conseil canadien des normes,Standards Council of Canada's Infrastructure Program: Stream 3 - Northern Infrastructure Standardization Initiative,Programme du Conseil canadien des normes en matière d'infrastructures: Volet 3- Initiative de normalisation des infrastructures du Nord,Adaptation - Infrastructure,Adaptation - Immeubles,"Development of a new National Standard of Canada for ""Erosion Protection for Community Infrastructure in Permafrost Zones""","Élaboration d’une nouvelle Norme nationale du Canada ""Protection des infrastructures communautaires du Nord contre l’érosion""","This standard will provide requirements and recommendations relevant to preventing erosion and its impact on infrastructure in Canada's North. It will further detail requirements for managing surface water as well as outlining coastal erosion protection measures, and measures related to erosion monitoring amongst other requirements.","Cette norme définira des exigences et des recommandations pour prévenir l’érosion et ses effets sur les infrastructures dans le Nord canadien. Elle précisera les exigences de gestion des eaux de surface et proposera, entre autres, des mesures de protection contre l’érosion des côtes et de surveillance de l’érosion.",Other,Autre,Infrastructure practitioners in Northern Canada,Professionnels en infrastructure dans le Nord canadien,Not available,Not available,Sans objet,Sans objet,Spring/2018,Printemps/2018,Multiple,Multiples,Multiple,Multiples,Adaptation,45.422136,-75.695965,"<a target=""_blank"" href=""http://www.scc.ca/en"">Program website</a>","<a target=""_blank"" href=""http://www.scc.ca/fr"">Site web du programme</a>",
Standards Council of Canada,Conseil canadien des normes,Standards Council of Canada's Infrastructure Program: Stream 3 - Northern Infrastructure Standardization Initiative,Programme du Conseil canadien des normes en matière d'infrastructures: Volet 3- Initiative de normalisation des infrastructures du Nord,Adaptation - Infrastructure,Adaptation - Immeubles,"Development of a new National Standard of Canada for ""Fire Resilient Building Design and Materials for Northern Regions""","Élaboration d’une nouvelle Norme nationale du Canada ""Planification, conception architecturale et matériaux de construction pour des zones résidentielles nordiques résilientes face aux incendies""","This standard will cover fire-resilient community planning, building design and materials for northern regions including guidance for incorporating climate change adaptation strategies, alignment with existing strategies, procedures for infrastructure site evaluation, guidance on fire spread hazards and other important considerations.","Cette norme définira la planification, la conception architecturale et les matériaux de construction pour des zones résidentielles nordiques résilientes face aux incendies, et fournira des lignes directrices pour l’intégration des stratégies d’adaptation aux changements climatiques, l’harmonisation avec les stratégies actuelles, les procédures d’évaluation des sites d’infrastructures et la gestion des dangers liés à la propagation du feu, entre autres considérations importantes.",Other,Autre,Infrastructure practitioners in Northern Canada,Professionnels en infrastructure dans le Nord canadien,Not available,Not available,Sans objet,Sans objet,Spring/2018,Printemps/2018,Multiple,Multiples,Multiple,Multiples,Adaptation,45.422136,-75.695965,"<a target=""_blank"" href=""http://www.scc.ca/en"">Program website</a>","<a target=""_blank"" href=""http://www.scc.ca/fr"">Site web du programme</a>",
Standards Council of Canada,Conseil canadien des normes,Standards Council of Canada's Infrastructure Program: Stream 3 - Northern Infrastructure Standardization Initiative,Programme du Conseil canadien des normes en matière d'infrastructures: Volet 3- Initiative de normalisation des infrastructures du Nord,Adaptation - Infrastructure,Adaptation - Immeubles,"Development of a new National Standard of Canada for ""Planning, Design, Operation, and Maintenance of Waste Water Treatment in Communities Using Lagoon and Wetland Systems""","Élaboration d’une nouvelle Norme nationale du Canada ""Planification, conception, exploitation et maintenance de systèmes d’étangs et de milieux humides pour le traitement des eaux usées dans les communautés nordiques""","This standard will cover waste water treatment for lagoons and wetland systems, either piped in or trucked in, for northern communities. This includes planning, designing and construction according to a consistent methodology specific for northern conditions, incorporating climate change adaptation strategies at every stage of the system's lifecycle.","Cette norme encadrera le traitement des eaux usées, transportées par canalisations ou par camions, pour les systèmes d’étangs et de milieux humides dans les zones nordiques. Elle présentera des méthodes uniformisées de planification, de conception et de construction adaptées précisément aux conditions nordiques, tenant compte des stratégies d’adaptation aux changements climatiques à toutes les étapes du cycle de vie des systèmes.",Other,Autre,Infrastructure practitioners in Northern Canada,Professionnels en infrastructure dans le Nord canadien,Not available,Not available,Sans objet,Sans objet,Fall/2017,Automne/2017,Multiple,Multiples,Multiple,Multiples,Adaptation,45.422136,-75.695965,"<a target=""_blank"" href=""http://www.scc.ca/en"">Program website</a>","<a target=""_blank"" href=""http://www.scc.ca/fr"">Site web du programme</a>",
Standards Council of Canada,Conseil canadien des normes,Standards Council of Canada's Infrastructure Program: Stream 3 - Northern Infrastructure Standardization Initiative,Programme du Conseil canadien des normes en matière d'infrastructures: Volet 3- Initiative de normalisation des infrastructures du Nord,Adaptation - Infrastructure,Adaptation - Immeubles,"Development of a new National Standard of Canada for ""Techniques for Dealing with High Winds as it Pertains to Northern Infrastructure"" ","Élaboration d’une nouvelle Norme nationale du Canada ""Techniques de protection des infrastructures du Nord contre les vents violents et les bancs de neige""","This standard will cover requirements and recommendations to increase the resiliency of both existing and future built infrastructure in the North to high-intensity winds incorporating climate change adaptation strategies. This will include guidance on nail placement, wind resilient/resistant building design and materials, wind protection for large openings and other requirements.","Cette norme définira des exigences et des recommandations afin d’améliorer la résilience aux vents violents des infrastructures actuelles et futures dans le Nord, en intégrant des stratégies d’adaptation aux changements climatiques. Elle fournira, entre autres, des lignes directrices sur la position des clous, la conception et les matériaux des bâtiments résistants et résilients aux vents, et la protection contre les vents des grandes ouvertures.",Other,Autre,Infrastructure practitioners in Northern Canada,Professionnels en infrastructure dans le Nord canadien,Not available,Not available,Sans objet,Sans objet,Summer/2018,Été/2018,Multiple,Multiples,Multiple,Multiples,Adaptation,45.422136,-75.695965,"<a target=""_blank"" href=""http://www.scc.ca/en"">Program website</a>","<a target=""_blank"" href=""http://www.scc.ca/fr"">Site web du programme</a>",
Standards Council of Canada,Conseil canadien des normes,Standards Council of Canada's Infrastructure Program: Stream 3 - Northern Infrastructure Standardization Initiative,Programme du Conseil canadien des normes en matière d'infrastructures: Volet 3- Initiative de normalisation des infrastructures du Nord,Adaptation - Infrastructure,Adaptation - Immeubles,"Development of a new National Standard of Canada, CAN/BNQ 2501-500, Geotechnical Site Investigations for Building Foundations in Permafrost Zones","Élaboration d’une nouvelle Norme nationale du Canada, Études géotechniques pour les fondations de bâtiments construites dans le pergélisol","This standard establishes a consistent methodology for performing geotechnical site investigations so that the results can be used to design building foundations with due consideration of the conditions prevailing at the building site, including the distinctive characteristics of permafrost and the seasonal and interannual climate conditions as well as the projected climate conditions over the service life of the building foundations.","Cette norme établit une méthodologie uniforme pour la réalisation des études géotechniques de sorte que leurs résultats puissent être utilisés pour concevoir des fondations de bâtiments en tenant compte, dans un cadre de gestion des risques, des conditions qui prévalent sur le site, notamment : les caractéristiques distinctives du pergélisol; les conditions climatiques saisonnières et interannuelles, de même que celles projetées pour la durée de vie utile des fondations du bâtiment. ",Other,Autre,Infrastructure practitioners in Northern Canada,Professionnels en infrastructure dans le Nord canadien,Not available,Not available,Sans objet,Sans objet,Winter/2015,Hiver/2015,Multiple,Multiples,Multiple,Multiples,Adaptation,45.422136,-75.695965,"<a target=""_blank"" href=""http://www.scc.ca/en"">Program website</a>","<a target=""_blank"" href=""http://www.scc.ca/fr"">Site web du programme</a>",
Standards Council of Canada,Conseil canadien des normes,Standards Council of Canada's Infrastructure Program: Stream 3 - Northern Infrastructure Standardization Initiative,Programme du Conseil canadien des normes en matière d'infrastructures: Volet 3- Initiative de normalisation des infrastructures du Nord,Adaptation - Infrastructure,Adaptation - Immeubles,"Review and update of ""CSA Plus 4011-10: Infrastructure in Permafrost: A Guideline for Climate Change Adaptation and the Development of Complementary Enhanced Technical Guidance for Highly Technical Users""","Révision du guide ""CSA PLUS 4011-10: Infrastructure in permafrost: A guideline for climate change adaptation et préparation parallèle d’orientation technique complémentaire, orientée pour les ingénieurs""","This project will update ""CSA Plus 4011-10: Infrastructure in Permafrost: A Guideline for Climate Change Adaptation"" a guideline for decision makers with a role in planning, purchasing, developing, or operating community infrastructure in permafrost regions.","Ce projet prévoit la mise à jour de la norme CSA Plus 4011-10 Infrastructure dans le pergélisol: Lignes directrices pour l’adaptation au changement climatique, qui guide les décideurs ayant un rôle de planification, d’acquisition, d’aménagement ou d’exploitation des infrastructures communautaires dans les régions pergélisolées.",Other,Autre,Infrastructure practitioners in Northern Canada,Professionnels en infrastructure dans le Nord canadien,Not available,Not available,Sans objet,Sans objet,Spring/2018,Printemps/2018,Multiple,Multiples,Multiple,Multiples,Adaptation,45.422136,-75.695965,"<a target=""_blank"" href=""http://www.scc.ca/en"">Program website</a>","<a target=""_blank"" href=""http://www.scc.ca/fr"">Site web du programme</a>",
